"","unique_id","no3_as_n_Original","no3_as_n","no3_as_n_Cens","no3_as_n_Qualifier","no3_as_n_Symbology","no2_n_mgl_Original","no2_n_mgl","no2_n_mgl_Cens","no2_n_mgl_Qualifier","no2_n_mgl_Symbology","total_n_mgl_Original","total_n_mgl","total_n_mgl_Cens","total_n_mgl_Qualifier","total_n_mgl_Symbology","cl_mg_l_Original","cl_mg_l","cl_mg_l_Cens","cl_mg_l_Qualifier","cl_mg_l_Symbology","br_mg_l_Original","br_mg_l","br_mg_l_Cens","br_mg_l_Qualifier","br_mg_l_Symbology","gwic_id","sample_date_time","lab_name","latitude","longitude","type","aquifer","aquifer_grouped","bg","pch","col","cex"
"159","263104_2023-08-30","4.850",4.85,FALSE,"",4.85,"<0.010 U",0.01,TRUE," U",-1,"4.520",4.52,FALSE,"",4.52,"122.800",122.8,FALSE,"",122.8,"386.000",0.386,FALSE,"",386,"263104",2023-08-30 15:05:00,"MBMG",45.68762,-108.70275,"WELL","112YRT2","Quaternary","khaki3",22,"black",2
"160","269586_2022-11-07","5.8",5.8,FALSE,"",5.8,"<0.01",0.01,TRUE,"",-1,"5.8",5.8,FALSE,"",5.8,"17",17,FALSE,"",17,"<0.01",0.01,TRUE,"",-1,"269586",2022-11-07 16:36:00,"Energy Labs",45.714466666667,-108.6759,"WELL","","Quaternary","khaki3",22,"black",2
"161","276474_2022-10-26","1.09",1.09,FALSE,"",1.09,"<0.01",0.01,TRUE,"",-1,"1.09",1.09,FALSE,"",1.09,"12",12,FALSE,"",12,"<0.01",0.01,TRUE,"",-1,"276474",2022-10-26 10:41:00,"Energy Labs",45.79104,-108.5331,"WELL","112YRT3","Quaternary","khaki3",22,"black",2
"162","276477_2022-10-26","1.66",1.66,FALSE,"",1.66,"<0.01",0.01,TRUE,"",-1,"1.66",1.66,FALSE,"",1.66,"22",22,FALSE,"",22,"<0.01",0.01,TRUE,"",-1,"276477",2022-10-26 09:24:00,"Energy Labs",45.78989,-108.52835,"WELL","112YRT3","Quaternary","khaki3",22,"black",2
"163","282909_2022-09-05","3.1",3.1,FALSE,"",3.1,"<0.05",0.05,TRUE,"",-1,NA,NA,FALSE,NA,NA,"22.7",22.7,FALSE,"",22.7,"<0.05",0.05,TRUE,"",-1,"282909",2022-09-05 01:30:00,"City of Billings",45.740405555556,-108.57755,"WELL","","Quaternary","khaki3",22,"black",2
"164","284515_2022-09-29","0.22",0.22,FALSE,"",0.22,"<0.05",0.05,TRUE,"",-1,NA,NA,FALSE,NA,NA,"65.8",65.8,FALSE,"",65.8,"0.14",0.14,FALSE,"",0.14,"284515",2022-09-29 09:38:00,"City of Billings",45.786802,-108.516034,"WELL","","Quaternary","khaki3",22,"black",2
"165","287865_2023-06-05","5.34",5.34,FALSE,"",5.34,"0.02",0.02,FALSE,"",0.02,"5.36",5.36,FALSE,"",5.36,"129",129,FALSE,"",129,"0.4",0.4,FALSE,"",0.4,"287865",2023-06-05 14:30:00,"Energy Labs",45.705533,-108.62665,"WELL","","Quaternary","khaki3",22,"black",2
"166","292908_2023-04-10","0.280",0.28,FALSE,"",0.28,"<0.050 U",0.05,TRUE," U",-1,"<0.200 U",0.2,TRUE," U",-1,"201.100",201.1,FALSE,"",201.1,"492.000",0.492,FALSE,"",492,"292908",2023-04-10 07:35:00,"MBMG",45.79723,-108.48286,"WELL","112YRT2","Quaternary","khaki3",22,"black",2
"167","292908_2023-09-08","0.420",0.42,FALSE,"",0.42,"<0.050 U",0.05,TRUE," U",-1,"0.330",0.33,FALSE,"",0.33,"325.700",325.7,FALSE,"",325.7,"729.000",0.729,FALSE,"",729,"292908",2023-09-08 15:45:00,"MBMG",45.79723,-108.48286,"WELL","112YRT2","Quaternary","khaki3",22,"black",2
"168","301817_2022-10-10","3.58",3.58,FALSE,"",3.58,"<0.01",0.01,TRUE,"",-1,"3.17",3.17,FALSE,"",3.17,"22.2",22.2,FALSE,"",22.2,"0.09",0.09,FALSE,"",0.09,"301817",2022-10-10 15:21:00,"MBMG Butte, MT",45.740555555556,-108.545555555556,"WELL","","Quaternary","khaki3",22,"black",2
